year;facility_number;facility_name;begin_date;end_date;county_name;type_of_control;hours_type;productive_hours;productive_hours_per_adjusted_patient_day
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Aides & Orderlies;143285;1.64
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Clerical & Other Administrative;376872;4.31
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Environmental & Food Services;178356;2.04
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Other;62313;0.71
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Registry Nursing;50414;0.58
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Contracted Other;25653;0.29
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Daily Cost Centers;811485;9.28
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Ambulatory Cost Centers;221808;2.54
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Ancillary Cost Centers;544921;6.23
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Education Cost Centers;0;0
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;General Services Cost Centers;415937;4.76
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Fiscal Services Cost Centers;112275;1.28
2009;106010805;EDEN MEDICAL CENTER;01/01/2009;12/31/2009;Alameda;Non-Profit;Administrative Services Cost Centers;233934;2.68
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Management & Supervision;306179;1.78
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Technician & Specialist;949532;5.51
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Registered Nurse;991421;5.76
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Licensed Vocational Nurse;126386;0.73
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Aides & Orderlies;289841;1.68
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Clerical & Other Administrative;718014;4.17
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Environmental & Food Services;383844;2.23
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Other;376373;2.19
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Contracted Registry Nursing;287898;1.67
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Contracted Other;60342;0.35
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Daily Cost Centers;1228755;7.14
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Ambulatory Cost Centers;801345;4.65
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Ancillary Cost Centers;612747;3.56
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Education Cost Centers;299641;1.74
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;General Services Cost Centers;779669;4.53
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Fiscal Services Cost Centers;321293;1.87
2009;106010846;ALAMEDA COUNTY MEDICAL CENTER;07/01/2008;06/30/2009;Alameda;City/County;Administrative Services Cost Centers;446380;2.59
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Management & Supervision;0;0
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Technician & Specialist;0;0
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Registered Nurse;2294043;26.42
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Licensed Vocational Nurse;14759;0.17
2009;106010856;KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS;01/01/2009;12/31/2009;Alameda;Non-Profit;Aides & Orderlies;221515;2.55
